,OBJECTID1,File_tag,Provider,DateOnly,Date,Date_1,Time_2,Latitude_3,Longitude_3,Address_of_incident_4,ID_of__nearest__asset_5,ID_of_nearest__polyphase__line_,Voltage_of_line_in_which__fire_,Network_categorisation_8,Type_of_primary_asset__involved,Phase_s__of__line_or__transform,Kind_of_fire_start_as_per_Claus,Location__area_12,Location_multiplier,Fire__danger__rating_13,Danger_multiplier,Product_of_multipliers,DNSP_record_number_14,OSIRIS___ESV__reference__number,Fault__description_16,Overhead_conductors,BUFF_DIST,FOR_CODE,FOR_TYPE,FOR_CAT,COVER,HEIGHT,FOREST,Elevation,STATION_ID,CODE,NAME,WeatherStation,Monthly Avg Rainfall,Monthly Mean Max Temperature,Monthly Mean Solar Exposure,Is_Fire
1493,1494,Powercor 18/249,Powercor,4/03/2019,4/03/2019,,,-36.25743,145.35096,CNR MEDLAND RD AND ALDINGA DVE - BUNBARTHA ,33097110.0,SHN011,22kV AC,Rural Long, - overhead conductor (bare; all aluminium conductor),three phase,"Started by any tree, or part of a tree, falling upon or coming into contact with a distribution system",LBRA only,0.2,High,0.5,0.1,,20190429PWA_03 ,"Customer advised that tree fell across bare overhead mains and reported smoking from wire/tree. 
Attending crew found A tree had fallen directly across all three phases and  tree had caught fire.  There were small fires where the conductors had been broug",,7.62,0,Non forest,Non forest,6,6,0,108.0939026,94875,YSHT,SHEPPARTON AWS,,14.6,24.8,15.9,0
768,769,Powercor 16/142,Powercor,17/02/2017,2/17/17 0:00,42783.0,0.641666667,-37.82732,144.77876,,33074084.0,LVN024,22kV AC,Urban, - switch (disconnector/isolator),three phase,Started by any other thing forming part of or coming into contact with a distribution system,LBRA only,0.2,High,0.5,0.1,12826.0,20170221PWA_02,The MFB reported that a truck had hit wires at corner of Australis drive and Robinsons road and started a fire at the incident location. Truck and grass on fire. MFB was on site. On arrival the fault crew found a truck had collided with a 66KV/22KV INT po,,7.62,0,Non forest,Non forest,6,6,0,26.77666664,94865,YLVT,LAVERTON AWS,,47,25.9,20.5,1
1093,1094,PowerCor 19/236,PowerCor,11/02/2020,2/11/20 0:00,43872.0,0.650694444,-37.647258,141.023289,1491 Old Lindsay Road Strathdownie,32131144.0,HTN002,12.7kV AC (SWER),Rural Long, - pole (wood),single wire earth return (SWER),Started in or originated from a distribution system,within area delineated on plan LEGL./16-354,4.6,Low-moderate,0.2,0.92,,20200212PWA_01,Fire brigade advised of a pole fire possibly caused by a ground fire. The attending crew identified that a pole fire had occurred and spread into grassland. An area estimated to be several acres (1.5 Ha) of private pasture was burnt. No damage to fencing ,,7.62,0,Non forest,Non forest,6,6,0,67.83834839,95825,CASX,CASTERTON AWS,,75.8,24.4,17.9,0
1659,1660,PowerCor 19/280,PowerCor,9/04/2020,4/9/20 0:00,43930.0,0.335416667,-35.204147,143.36317,"215 HOBSON ROAD,NYAH WEST,VIC,3595",33069006.0,SHL002,22kV AC,Rural Long, - transformer (pole mounted),three phase,Started by lightning striking a distribution system or a part of a distribution system ,HBRA only,1.0,Low-moderate,0.2,0.2,,20200520PWA_12 ,"Report received of a transformer struck by lighting. Transformer was on fire, now smoking",,7.62,0,Non forest,Non forest,6,6,0,81.40598297,94843,YSWH,SWAN HILL AWS,,145.6,19.3,9.8,1
816,817,CitiPower 19/20,CitiPower,16/07/2019,7/16/19 0:00,43662.0,0.780555556,-37.794768,145.06377,"1122 BURKE ROAD,BALWYN NORTH,VIC,3104",30167864.0,L022,Low voltage AC (<1kV),Urban, - luminaires (major road),single phase,Started in or originated from a distribution system,LBRA only,0.2,No forecast,0.1,0.02,,20190724PWA_04 ,"MFB reported a pole fire at the above incident location. Upon crew arrival, they reported a faulty 150W public lighting head unit which had caught on fire. There was no reported injuries or ground fire. Crew organized a public lighting head unit to be rep",,7.62,0,Non forest,Non forest,6,6,0,27.65502739,94868,MELB,MELBOURNE,,52.8,15,7.7,0
904,905,CitiPower 16/17,CitiPower,18/08/2016,8/18/16 0:00,42600.0,0.579166667,-37.838705,144.99312,,30302043.0,TK024,Low voltage AC (<1kV),Urban, - fuse (any other type),single phase,Started in or originated from a distribution system,LBRA only,0.2,No forecast,0.1,0.02,12356.0,20160826PWA_03,"A customer requested urgent attendance to isolate supply due to fire in MSB room at the incident location. Upon arrival, crew found that an overheated LV fuse board caught fire. MFB attended. Protection operated. The supply isolated
and the place made saf",,7.62,0,Non forest,Non forest,6,6,0,8.978467941,94868,MELB,MELBOURNE,,69.4,15.9,10.1,0
1410,1411,Powercor 16/152,Powercor,6/03/2017,3/6/17 0:00,42800.0,0.493055556,-36.621415,145.21939,,32192135.0,MNA034,Low voltage AC (<1kV),Rural Long, - overhead conductor (bare; aluminium core steel reinforced),three phase,Started in or originated from a distribution system,LBRA only,0.2,High,0.5,0.1,12968.0,20170323PWA_01,Crew  advised of a small fire  resulting from clashing of Low voltage conductors during works. The white phase overhead conductor burnt through fell to the ground and a fire of less than 1 square metre was initiated.  The crew extinguished the fire. Suppl,,7.62,0,Non forest,Non forest,6,6,0,120.3451996,95836,TISA,TATURA INSTITUTE,,29.2,26.9,16.8,0
260,261,Powercor 16/65,Powercor,25/11/2016,11/25/16 0:00,42699.0,0.444444444,-38.255678,143.63156,,30050973.0,CLC003,22kV AC,Rural Long, - overhead conductor (bare; steel),three phase,"Started by any tree, or part of a tree, falling upon or coming into contact with a distribution system",within area delineated on plan LEGL./16-354,4.6,Low-moderate,0.2,0.92,12583.0,20161128PWA_01,The property owner reported a blown fuse and the line on the ground at the incident location. A crew attended and found 1 phase of a Single phase HV line on the ground and 1 HV fuse at the Tee Off blown. A tree branch had fallen across the conductor and b,,7.62,0,Non forest,Non forest,6,6,0,123.3673096,94845,YOLA,COLAC AP,,36.4,20.8,19.5,0
609,610,United 17/94,United,18/03/2018,3/18/18 0:00,43177.0,0.546099537,-38.02272135,145.2046588,54 ELLIOTT ROAD DANDENONG SOUTH,635717.0,DSH14,22kV AC,Urban, - pole (wood),three phase,Started in or originated from a distribution system,LBRA only,0.2,Severe,2.0,0.4,5486.0,20180320UTD_04, Crew found 66/22 KV pole broken due to a pole fire at the king bolt of the tee off xarm LIS#0635717. ,,7.62,0,Non forest,Non forest,6,6,0,11.887146,94870,YMMB,MOORABBIN AWS,,24.6,24.9,16.6,1
225,226,Ausnet 19/89,Ausnet,1/01/2020,1/1/20 7:49,43831.32569,43831.32569,-38.45334499,145.993974,"19 CRIGHTONS ROAD, KOOROOMAN VIC 3953",2008257.0,LGA13,22kV AC,RURAL LONG, - fuse (boric acid),single phase,Otherwise started by a distribution system,HBRA only,1.0,HIGH,0.5,0.5,,20200109SPN_03,Candled HV Fuse,,7.62,0,Non forest,Non forest,6,6,0,75.53878021,95854,ELLI,ELLINBANK,,129.4,26.9,21.8,0
926,927,Ausnet 19/29,Ausnet,15/07/2019,7/15/19 9:00,43661.375,43661.375,-37.80366302,145.305726,"12 TENNYSON AVENUE, KILSYTH VIC 3137",1005921.0,CYN13,22kV AC,URBAN, - switch (disconnector/isolator),three phase,Otherwise started by a distribution system,LBRA only,0.2,NO FORECAST,0.1,0.02,,20190717SPN_03,The centre phase bushing of the manual gas switch has failed resulting in fire. The fire was contained on the pole top and there was no evidence of ground fire.  The investigation was inconclusive and the exact cause of the bushing failure and subsequent ,,7.62,0,Non forest,Non forest,6,6,0,114.999527,94872,DUNN,DUNNS HILL AWS,,52.8,15,7.7,0
257,258,PowerCor 19/237,PowerCor,11/02/2020,2/11/20 0:00,43872.0,0.541666667,-38.152608,143.237087,"1260 Camperdown-Lismore Rd, Camperdown (Kariah)",32059880.0,CDN004,22kV AC,Rural Long, - crossarm (wood),three phase,Started in or originated from a distribution system,within area delineated on plan LEGL./16-354,4.6,Low-moderate,0.2,0.92,,20200212PWA_06 ,A customer called to report a pole fire and a wire down at the incident location. On arrival the crew found a HV wooden termination cross arm on the substation pole had burnt off. There was a small 5 sq m grass fire. There was no reported injuries or thir,,7.62,0,Non forest,Non forest,6,6,0,169.5518188,94845,YOLA,COLAC AP,,75.8,24.4,17.9,0
1696,1697,Powercor 18/239,Powercor,23/04/2019,23/04/2019,,,-34.25100669,142.0830582,3420 Deakin Av Mildura,,MBN032,22kV AC,Rural Short, - crossarm (wood),three phase,Started in or originated from a distribution system,within area delineated on plan LEGL./16-354,4.6,Low-moderate,0.2,0.92,,20190507PWA_07 ,"Vic Fire reported a pole fire at the incident location, attending crew found HV cross-ram had burnt",,7.62,0,Non forest,Non forest,6,6,0,46.02052689,94693,YMIA,MILDURA,,11.6,22,11.1,1
1728,1729,Powercor 18/241,Powercor,23/04/2019,23/04/2019,,,-34.19269192,142.1498231,16 Princess St Mildura,32149824.0,MDA033,22kV AC,Urban, - overhead conductor (bare; aluminium core steel reinforced),three phase,Started in or originated from a distribution system,LBRA only,0.2,Low-moderate,0.2,0.04,,20190424PWA_01 ,"A pole fire reported at the incident location. 
Upon arrival, that the crew found HV cross arm burnt through. 
There were no injuries or ground fire. HVI damage was reported.",,7.62,0,Non forest,Non forest,6,6,0,51.37046814,94693,YMIA,MILDURA,,11.6,22,11.1,0
606,607,United 17/57,United,25/01/2018,1/25/18 0:00,43125.0,0.750162037,-37.99451511,145.2079681,13 DALGETY STREET DANDENONG,8813035.0,KBH32,22kV AC,Urban, - transformer (pole mounted),three phase,Started in or originated from a distribution system,LBRA only,0.2,High,0.5,0.1,5410.0,20180129UTD_01,Transformer blown up and fire on the pole crew arranging // and isolating supply. 200kva transformer blown up. leaking out of LV bushings. Small fire on the ground. ,,7.62,0,Non forest,Non forest,6,6,0,18.83451653,94870,YMMB,MOORABBIN AWS,,73.6,27.2,23.9,0
1033,1034,Ausnet 18/42,Ausnet,24/10/2018,10/24/18 15:22,43397.64042,43397.64042,-37.87714902,145.399436,"26 BAYNES PARK ROAD, MONBULK VIC 3793",1321322.0,BGE11,Low voltage AC (<1kV),RURAL SHORT, - connection box,three phase,Otherwise started by a distribution system,within electric line construction area,19.8,LOW-MODERATE,0.2,3.96,,20181109SPN_04,"FOLCB has failed internally possibly as a result of poor neutral connections. Failed FOLCB removed and replaced with new, damaged dropper cables replaced and re-terminated.",,7.62,0,Non forest,Non forest,6,6,0,226.6085205,94872,DUNN,DUNNS HILL AWS,,24.9,21.4,19.2,1
220,221,Ausnet 18/82,Ausnet,16/01/2019,1/16/19 15:11,43481.63264,43481.63264,-38.45265604,145.7394604,"490 ANDERSONS INLET ROAD, BENA VIC 3946",2008210.0,LGA23,22kV AC,RURAL LONG, - pole (wood),three phase,Otherwise started by a distribution system,HBRA only,1.0,HIGH,0.5,0.5,,20190117SPN_01,"The tie on the insulator has failed, possibly due to a lightning strike based on evidence of black charring on the insulator. The conductor has dropped and come in to contact with the pole, burning through the pole causing the top section to fail and fall",,7.62,0,Non forest,Non forest,6,6,0,178.2950897,95881,YWON,WONTHAGGI,,12.6,28.4,25.6,0
804,805,United 19/117,United,14/05/2020,5/14/20 0:00,43965.0,0.741666667,-37.88224698,145.0110809,"54 ALLISON ROAD, ELSTERNWICK VIC 3185",2303150.0,EL13,Low voltage AC (<1kV),Urban, - switch (disconnector/isolator),single phase,Started in or originated from a distribution system,LBRA only,0.2,No forecast,0.1,0.02,1405473.0,20200518UTD_03,"MFB was on site at ""Morton-Leslie"" S/Stn when crew arrived and reported fire on assets but had gone out on its own - Source of fire at red phase isol (equip too melted to determine).    ESV advised ref # 13978228 - LIS 2303150",Started in or originated from a distribution system,7.62,0,Non forest,Non forest,6,6,0,26.98370552,94868,MELB,MELBOURNE,,82.8,16.4,8.3,0
1122,1123,Powercor 16/98,Powercor,4/01/2017,1/4/17 0:00,42739.0,0.906944444,-37.688277,144.43618,,33075192.0,BMH004,Low voltage AC (<1kV),Rural Short,Public lighting,single phase,Started in or originated from a distribution system,LBRA only,0.2,High,0.5,0.1,12715.0,20170112PWA_06,A passer-by reported that a street light lantern (150W HPS on an outreach bracket) at pole LIS-105857 (12.5m concrete pole) had caught fire resulting in the lantern cover melting and coming down to ground through the tree beneath the pole. The fault crew ,,7.62,0,Non forest,Non forest,6,6,0,104.197052,94865,YLVT,LAVERTON AWS,,33.2,26.5,23.4,0
1012,1013,United 16/89,United,14/04/2017,4/14/17 0:00,42839.0,0.016134259,-37.82497809,145.1691914,,8800163.0,NW 21,22kV AC,Urban, - fuse (boric acid),three phase,Started in or originated from a distribution system,LBRA only,0.2,Low-moderate,0.2,0.04,5224.0,20170425UTD_05 ,"BA Fuse Candled at  BH1074 Joyce St, cnr Central Rd LIS=  8800163",,7.62,0,Non forest,Non forest,6,6,0,109.9986496,95867,SCOR,SCORESBY AWS,,142.7,20.8,10.8,0
549,550,United 16/63,United,19/01/2017,1/19/17 0:00,42754.0,0.543055556,-37.94203776,145.121892,,611069.0,SS 21,Low voltage AC (<1kV),Urban, - switch (any other type),three phase,Started in or originated from a distribution system,LBRA only,0.2,High,0.5,0.1,5145.0,20170124UTD_01,"Repalced burnt out krone box, new 160amp din fuses. cause unknown, krone box was melted. LIS3 0611069",,7.62,0,Non forest,Non forest,6,6,0,44.80553436,94870,YMMB,MOORABBIN AWS,,33.2,26.5,23.4,0
477,478,United 19/42,United,27/11/2019,11/27/19 0:00,43796.0,0.188738426,-37.91025972,144.9862676,"218B ESPLANADE, BRIGHTON VIC 3186",1806095.0,NB33,Low voltage AC (<1kV),Urban, - connection box,three phase,Started in or originated from a distribution system,LBRA only,0.2,High,0.5,0.1,1355658.0,20200114UTD_01,FiRef #1357042 replcd red phase fuse base & 100a service fuse at the pole lis# 1806095 fire report: 1569 caused very small fire at base of pole supply left on - email sent from analytics @ 02:00 on 1/12/19, - crossarm (steel),7.62,0,Non forest,Non forest,6,6,0,4.421747684,94870,YMMB,MOORABBIN AWS,,60.8,21.8,20.4,0
610,611,United 17/103,United,24/03/2018,3/24/18 0:00,43183.0,0.451886574,-37.9845417,145.1410649,1 TERALBA CLOSE DINGLEY VILLAGE,618974.0,NP 12,22kV AC,Urban, - dropper / bridge,three phase,Started in or originated from a distribution system,LBRA only,0.2,High,0.5,0.1,5526.0,20180501UTD_06,"LIS 0618974 - MFB reported pole on fire, On arrival flex had burnt off and likely cause was a possum..however will record as connection failure",,7.62,0,Non forest,Non forest,6,6,0,24.98147774,94870,YMMB,MOORABBIN AWS,,24.6,24.9,16.6,0
55,56,Ausnet 18/31,Ausnet,7/08/2018,8/7/18 22:54,43319.95417,43319.95417,-38.47221202,145.949044,"43 TURNER STREET, LEONGATHA VIC 3953",2005194.0,LGA22,Low voltage AC (<1kV),RURAL SHORT, - luminaires (major road),single phase,Otherwise started by a distribution system,LBRA only,0.2,NO FORECAST,0.1,0.02,234792.0,20180808SPN_01,Attending Fault crew found that the Active was disconnected and the it caught fire in head of light as a result of arching from moisture believed to be in the ballast.,,7.62,0,Non forest,Non forest,6,6,0,73.11489868,95854,ELLI,ELLINBANK,,49.4,15.1,10.1,1
1380,1381,PowerCor 19/201,PowerCor,20/01/2020,1/20/20 0:00,43850.0,0.025694444,-36.705216,142.205011,"57 Lynott Street, Horsham",32092095.0,HSM009,22kV AC,Urban, - crossarm (wood),three phase,Started in or originated from a distribution system,LBRA only,0.2,High,0.5,0.1,,20200122PWA_02 ,"Vic Fire reported a pole fire at the incident location. On arrival the fault crew found that a HV crossarm had burned through, and dropped the end of the crossarm onto the LV circuit below. There was no HVI found at customers premises, although a number o",,7.62,0,Non forest,Non forest,6,6,0,130.664856,95839,YHSM,HORSHAM AWS,,129.4,26.9,21.8,0
233,234,Ausnet 16/114,Ausnet ,2/04/2017,4/2/17 7:50,42827.32639,42827.32639,-38.398482,146.15867,,2021888.0,LGA11,22kV AC,RURAL LONG, - fuse (EDO fuse),three phase,Otherwise started by a distribution system,LBRA only,0.2,Low-moderate,0.2,0.04,227320.0,20170403SPN_01,Candled/burnt EDO fuse tube. EDO fuse failed to operate correctly.,,7.62,0,Non forest,Non forest,6,6,0,227.6456451,95854,ELLI,ELLINBANK,,142.7,20.8,10.8,0
1387,1388,PowerCor 19/48,PowerCor,1/10/2019,10/1/19 0:00,43739.0,0.732638889,-36.782408,144.230531,"105 NORELLE CRESCENT,KANGAROO FLAT,VIC,3555",33011824.0,BET006,22kV AC,Rural Short, - pole (concrete),three phase,"Started by any person, bird, reptile or other animal coming into contact with a distribution system",LBRA only,0.2,No forecast,0.1,0.02,,20191002PWA_03 ,"A customer reported hearing loud bang, went outside and pole was sparking and cause fire in grass under pole. Supply not affected now but power did go off for a moment, fire is out now. Crew found a bird caused flashover on center phase HV bridge at pole ",,7.62,0,Non forest,Non forest,6,6,0,265.2196045,94855,YBDG,BENDIGO AWS,,27.7,21.3,18.8,0
843,844,United 18/23,United,28/07/2018,7/28/18 0:00,43309.0,0.751967593,-37.90485924,145.1234447,"73 CLAYTON ROAD, OAKLEIGH EAST VIC 3166",600362.0,CDA23,Low voltage AC (<1kV),Urban, - lamps (major road),single phase,Started in or originated from a distribution system,LBRA only,0.2,No forecast,0.1,0.02,1203802.0,20180730UTD_01,"Cust reported Pole fire, crew isolated supply at the j/box on the pole fed by an o/head service. street light head (150HPS) needs replacement. LIS # 600362 which is o/s of 73 Clayton Rd Oakleigh east. ",,7.62,0,Non forest,Non forest,6,6,0,96.304039,94870,YMMB,MOORABBIN AWS,,22,14.8,8,0
1689,1690,Powercor 18/253,Powercor,5/01/2019,5/01/2019,,,-34.447651,142.33549,"2351 KULKYNE WAY, IRAAK VIC 3494",,RCT013,22kV AC,Rural Short, - crossarm (wood),three phase,Started in or originated from a distribution system,HBRA only,1.0,Very high,1.0,1.0,,20190514PWA_03 ,Vic fire reported a pole fire. The attending crew found that a cross arm had burnt at the king bolt position.,,7.62,0,Non forest,Non forest,6,6,0,47.32447433,94693,YMIA,MILDURA,,12.6,28.4,25.6,0
655,656,Ausnet 16/107,Ausnet ,8/03/2017,3/8/17 14:22,42802.59861,42802.59861,-38.09262999,145.502171,,524590.0,PHM12,22kV AC,RURAL SHORT, - transformer (pole mounted),three phase,"Started by any person, bird, reptile or other animal coming into contact with a distribution system",HBRA only,1.0,High,0.5,0.5,226815.0,20170309SPN_01,A large bird caused a flashover between a HV termination and earth of a transformer on a concrete substation pole resulting in electrocution and burning of the bird which fell to the ground starting a medium size grass fire.,,7.62,0,Non forest,Non forest,6,6,0,16.54319954,94879,CRAN,CRANBOURNE,,29.2,26.9,16.8,0
344,345,United 18/76,United,1/02/2019,2/1/19 0:00,43497.0,0.060416667,-38.1775636,145.165619,"250 ROBINSONS ROAD, LANGWARRIN VIC 3910",3310277.0,TBTS-FTS,66kV AC,Rural Short, - insulators,three phase,Started in or originated from a distribution system,HBRA only,1.0,High,0.5,0.5,1261024.0,20190211UTD_03," Also refer #1261039 per MFB, grass fire in area has damaged lis # 3310277 fire start whispir to be sent, Blue phase 66kv insul damaged causing leakage to base of pole small grass fire.",,7.62,0,Non forest,Non forest,6,6,0,80.71553802,94879,CRAN,CRANBOURNE,,20.3,26,21.4,0
227,228,Ausnet 18/65,Ausnet,17/12/2018,12/17/18 6:34,43451.27361,43451.27361,-38.31452099,145.908804,"172 FERNDALE-STRZELECKI ROAD, FERNDALE VIC 3821",2005124.0,LGA24,22kV AC,RURAL SHORT, - fuse (EDO fuse),single phase,Otherwise started by a distribution system,HBRA only,1.0,LOW-MODERATE,0.2,0.2,,20190111SPN_05,Candled EDO fuse. Replaced fuse and restored supply.,,7.62,0,Non forest,Non forest,6,6,0,216.9075317,95854,ELLI,ELLINBANK,,117.3,25.7,22.1,0
484,485,United 19/64,United,31/12/2019,12/31/19 0:00,43830.0,0.352777778,-37.90942634,145.0198859,"111 UNION STREET, BRIGHTON EAST VIC 3187",2333173.0,BT-NB,66kV AC,Urban, - crossarm (wood),three phase,Started in or originated from a distribution system,LBRA only,0.2,High,0.5,0.1,1365679.0,20200211UTD_02,Confirmed fire star NB-BT 66kv line. ESV Ref 13086105 Poss broken x arm per mfb  TE#1365697. N  No apparent cause between 11kv and 66 KV Iss and can A/P . LIS = 2333173, - switch (disconnector/isolator),7.62,0,Non forest,Non forest,6,6,0,14.71862602,94870,YMMB,MOORABBIN AWS,,4.4,24.6,24.7,0
1591,1592,Powercor 18/260,Powercor,14/12/2018,14/12/2018,,,-35.92025149,144.2187738,130 PEACES ROAD LEITCHVILLE VIC 3567,,CHA005,22kV AC,Rural Long, - crossarm (wood),three phase,Started in or originated from a distribution system,HBRA only,1.0,High,0.5,0.5,,20190627PWA_03,"Report of pole fire at incident location.
There was no ground fire, no reported injuries or third party property damage.",,7.62,0,Non forest,Non forest,6,6,0,81.40537262,94844,YKER,KERANG,,117.3,25.7,22.1,0
1441,1442,Powercor 16/117,Powercor,22/01/2017,1/22/17 0:00,42757.0,0.892361111,-36.460122,145.40816,,32191546.0,STN021,Low voltage AC (<1kV),Rural Short, - connection box,three phase,Started in or originated from a distribution system,LBRA only,0.2,Low-moderate,0.2,0.04,12778.0,20170201PWA_07,"Customer reported a fire on a pole at the incident location. On arrival the crew found that a LV FSD had failed due to suspected poor connection and caught on fire, molten plastic fell to the ground but no ground fire resulted. 



There were no reported ",,7.62,0,Non forest,Non forest,6,6,0,115.2640991,94875,YSHT,SHEPPARTON AWS,,33.2,26.5,23.4,0
