,Latitude_3,Longitude_3,Voltage_of_line_in_which__fire_,Location_multiplier,Danger_multiplier,Product_of_multipliers,COVER,HEIGHT,FOREST,Elevation,Monthly Avg Rainfall,Monthly Mean Max Temperature,Monthly Mean Solar Exposure,Is_Fire,day,month,year
31,-38.47768873,144.9930862,22kV AC,1.0,0.5,0.5,6,6,0,51.96447754,11.6,22,11.1,1,21,04,2019
32,-38.47773694,145.0238636,22kV AC,1.0,0.5,0.5,6,6,0,23.02778625,29.2,26.9,16.8,1,27,03,2017
33,-38.50923898,145.292317,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,12.66367912,64.3,14.5,10,1,23,08,2019
34,-38.51139202,145.297433,22kV AC,0.2,0.1,0.02,6,6,0,6.456336021,51.4,17.8,14.5,1,7,09,2019
35,-38.49703902,145.257654,22kV AC,0.2,0.5,0.1,6,6,0,32.99967957,60.8,21.8,20.4,1,11,11,2019
36,-38.50656602,145.283878,Low voltage AC (<1kV),0.2,0.5,0.1,6,6,0,17.35976982,11.6,22,11.1,1,12,04,2019
37,-38.49296302,145.296825,22kV AC,1.0,0.1,0.1,6,6,0,20.07490349,46.7,17.8,12.6,1,19,09,2017
38,-38.48215628,145.2052301,22kV AC,1.0,1.0,1.0,6,6,0,31.00113869,36.4,20.8,19.5,1,21,11,2016
39,-38.51079499,145.334234,22kV AC,4.6,0.2,0.92,6,6,0,8.107130051,47.7,25.5,24,1,9,12,2016
40,-38.469595,145.297199,22kV AC,0.2,0.2,0.04,6,6,0,14.6527586,47,25.9,20.5,1,13,02,2017
41,-38.50979849,145.227709,22kV AC,1.0,1.0,1.0,6,6,0,43.43441391,47,25.9,20.5,1,15,02,2017
42,-38.52755298,145.446574,22kV AC,4.6,1.0,4.6,1,2,1,51.97349548,27.7,21.3,18.8,1,24,10,2019
43,-38.49968603,145.444879,22kV AC,4.6,0.2,0.92,6,6,0,2.0,36.4,20.8,19.5,1,28,11,2016
44,-38.521948,145.387463,22kV AC,4.6,1.0,4.6,6,6,0,29.01395035,47.7,25.5,24,1,19,12,2016
45,-38.50828699,145.592468,Low voltage AC (<1kV),4.6,1.0,4.6,6,6,0,130.5173492,73.6,27.2,23.9,1,29,01,2018
46,-38.51745701,145.797532,Low voltage AC (<1kV),1.0,0.1,0.1,6,6,0,63.08440018,22,14.8,8,1,7,07,2018
47,-38.56088802,145.713198,22kV AC,4.6,0.1,0.46,6,6,0,42.73750305,46.7,17.8,12.6,1,5,09,2017
48,-38.51852697,145.72176,22kV AC,4.6,0.5,2.3,6,6,0,67.58852386,24.6,24.9,16.6,1,21,03,2018
49,-38.59208602,145.797572,22kV AC,1.0,1.0,1.0,6,6,0,41.34401703,24.6,24.9,16.6,1,21,03,2018
50,-38.63669801,145.710598,22kV AC,0.2,0.2,0.04,6,6,0,12.86424255,47.7,25.5,24,1,14,12,2016
51,-38.57709602,145.683675,Low voltage AC (<1kV),4.6,0.2,0.92,6,6,0,32.90911484,47.7,25.5,24,1,22,12,2016
52,-38.47793801,145.927489,22kV AC,1.0,0.1,0.1,6,6,0,59.75299454,51.4,17.8,14.5,1,4,09,2019
53,-38.54859999,145.943844,22kV AC,1.0,0.2,0.2,6,6,0,64.44033813,27.7,21.3,18.8,1,16,10,2019
54,-38.49223831,145.9934939,12.7kV AC (SWER),1.0,0.2,0.2,6,6,0,58.3680191,129.4,26.9,21.8,1,20,01,2020
55,-38.47221202,145.949044,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,73.11489868,49.4,15.1,10.1,1,7,08,2018
56,-38.51547981,145.9827497,12.7kV AC (SWER),1.0,0.2,0.2,6,6,0,88.4680481,117.3,25.7,22.1,1,17,12,2018
57,-38.55822102,145.881293,Low voltage AC (<1kV),1.0,0.5,0.5,6,6,0,52.75762939,14.6,24.8,15.9,1,9,03,2019
58,-38.476527,145.946517,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,90.37631226,0,14.8,10.1,1,2,08,2017
59,-38.47790002,146.02073,22kV AC,1.0,0.2,0.2,6,6,0,116.7656708,119.2,25,22.4,1,1,12,2017
60,-38.58679902,146.012339,22kV AC,1.0,0.2,0.2,6,6,0,63.72972488,73.6,27.2,23.9,1,15,01,2018
61,-38.57606199,145.845697,22kV AC,1.0,0.2,0.2,6,6,0,102.0382996,73.6,27.2,23.9,1,24,01,2018
62,-38.50200302,145.955512,22kV AC,1.0,0.1,0.1,6,6,0,55.62442017,72.2,17.6,7.3,1,14,05,2018
63,-38.55822102,145.881293,Low voltage AC (<1kV),1.0,1.0,1.0,6,6,0,52.75762939,29.2,26.9,16.8,1,27,03,2017
64,-38.58998299,146.144767,22kV AC,1.0,1.0,1.0,6,6,0,181.2420044,129.4,26.9,21.8,1,4,01,2020
65,-38.4642885,146.0886066,12.7kV AC (SWER),1.0,0.2,0.2,6,6,0,214.2855835,75.8,24.4,17.9,1,15,02,2020
66,-38.635416,146.112483,22kV AC,1.0,0.2,0.2,6,6,0,171.4165344,69.6,22,19.8,1,7,11,2018
67,-38.51890061,146.1198663,22kV AC,1.0,0.2,0.2,6,6,0,62.4902916,11.6,22,11.1,1,15,04,2019
68,-38.55190147,146.126673,12.7kV AC (SWER),1.0,0.2,0.2,6,6,0,78.59160614,46.2,25.9,22.8,1,28,11,2017
69,-38.50689698,146.11756,Low voltage AC (<1kV),1.0,0.5,0.5,6,6,0,130.8997803,24.6,24.9,16.6,1,10,03,2018
70,-38.64354998,146.492387,22kV AC,1.0,0.1,0.1,6,6,0,21.29720879,49.4,15.1,10.1,1,15,08,2018
71,-38.63074174,146.3491461,12.7kV AC (SWER),1.0,0.2,0.2,6,6,0,216.2416992,119.2,25,22.4,1,8,12,2017
72,-38.60905085,146.4857098,12.7kV AC (SWER),1.0,0.5,0.5,6,6,0,200.8382568,24.6,24.9,16.6,1,19,03,2018
73,-38.629913,146.503026,Low voltage AC (<1kV),1.0,0.5,0.5,6,6,0,29.70061111,33.2,26.5,23.4,1,26,01,2017
74,-38.53348598,146.590013,Low voltage AC (<1kV),1.0,0.5,0.5,6,6,0,44.78824615,27.7,21.3,18.8,1,23,10,2019
75,-38.47812199,146.54688,22kV AC,1.0,0.2,0.2,2,2,1,462.3471375,129.4,26.9,21.8,1,19,01,2020
76,-38.54845002,146.714541,22kV AC,1.0,0.2,0.2,6,6,0,21.66131401,75.8,24.4,17.9,1,3,02,2020
77,-38.61256301,146.659426,Low voltage AC (<1kV),1.0,0.5,0.5,6,6,0,6.196344852,69.6,22,19.8,1,1,11,2018
78,-38.52580098,146.598284,22kV AC,1.0,0.2,0.2,6,6,0,58.40481567,12.6,28.4,25.6,1,5,01,2019
79,-38.64419299,146.6719,22kV AC,1.0,0.2,0.2,6,6,0,2.133933067,11.6,22,11.1,1,13,04,2019
80,-38.62492599,146.635143,12.7kV AC (SWER),1.0,1.0,1.0,6,6,0,5.920051575,24.6,24.9,16.6,1,17,03,2018
81,-38.58633501,146.559605,22kV AC,1.0,0.5,0.5,6,6,0,33.70253754,29.2,26.9,16.8,1,15,03,2017
82,-38.360141,141.405613,66kV AC,1.0,0.2,0.2,6,6,0,20.32500076,145.6,19.3,9.8,1,5,04,2020
83,-38.280986,141.614754,22kV AC,1.0,0.2,0.2,6,6,0,30.79630089,75.8,24.4,17.9,1,11,02,2020
84,-38.281338,141.615504,22kV AC,1.0,0.1,0.1,6,6,0,29.26675034,82.8,16.4,8.3,1,22,05,2020
85,-38.338994,141.5989,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,16.90188026,30.8,14.9,7.6,1,20,06,2020
87,-38.336399,141.51643,12.7kV AC (SWER),1.0,0.5,0.5,6,6,0,70.00287628,33.2,26.5,23.4,1,19,01,2017
88,-38.372409,141.58595,22kV AC,1.0,0.2,0.2,6,6,0,42.17628098,33.2,26.5,23.4,1,21,01,2017
89,-38.354854,141.61412,22kV AC,0.2,1.0,0.2,6,6,0,2.688355923,47,25.9,20.5,1,28,02,2017
90,-38.313719,141.52965,Low voltage AC (<1kV),1.0,0.1,0.1,6,6,0,50.56587982,29.6,17.2,8.3,1,12,05,2017
91,-38.3813744,142.228058,Low voltage AC (<1kV),0.2,3.5,0.7,6,6,0,6.892210007,4.4,24.6,24.7,1,20,12,2019
92,-38.307361,142.34816,Low voltage AC (<1kV),4.6,0.5,2.3,6,6,0,45.70140076,129.4,26.9,21.8,1,4,01,2020
93,-38.295488,142.3687,22kV AC,0.2,0.1,0.02,6,6,0,59.20820999,82.8,16.4,8.3,1,30,05,2020
94,-38.302446,142.30706,22kV AC,4.6,0.1,0.46,6,6,0,31.12796974,68.6,14.6,7.2,1,22,07,2016
95,-38.359224,142.53905,12.7kV AC (SWER),1.0,0.1,0.1,6,6,0,43.57041931,52.8,15,7.7,1,16,07,2019
96,-38.385855,142.607767,22kV AC,0.2,3.5,0.7,6,6,0,14.68472958,4.4,24.6,24.7,1,30,12,2019
97,-38.385918,142.491587,22kV AC,0.2,0.2,0.04,6,6,0,3.659487963,129.4,26.9,21.8,1,20,01,2020
98,-38.387896,142.48379,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,18.38046074,82.8,16.4,8.3,1,12,05,2020
101,-38.311549,142.42934,22kV AC,4.6,0.1,0.46,6,6,0,36.87778854,104.6,16.7,12.6,1,9,09,2016
102,-38.372994,142.49273,Low voltage AC (<1kV),0.2,0.2,0.04,6,6,0,11.51406002,47.7,25.5,24,1,22,12,2016
103,-38.370667,142.46329,22kV AC,0.2,0.5,0.1,6,6,0,18.83608055,142.7,20.8,10.8,1,19,04,2017
104,-38.293463,142.849086,22kV AC,4.6,0.5,2.3,6,6,0,101.5837021,129.4,26.9,21.8,1,16,01,2020
105,-38.3169,142.74683,Low voltage AC (<1kV),4.6,0.5,2.3,6,6,0,103.1987,78.2,22.9,14.4,1,14,03,2020
106,-38.3962399,142.6917493,Low voltage AC (<1kV),1.0,0.1,0.1,6,6,0,49.14636993,21.4,14.9,7.2,1,1,06,2017
107,-38.46181109,142.9762632,22kV AC,4.6,0.1,0.46,6,6,0,94.20051575,57.5,15.5,7.2,1,13,06,2019
108,-38.336167,143.176136,22kV AC,4.6,0.1,0.46,6,6,0,107.2123871,30.8,14.9,7.6,1,30,06,2020
109,-38.29407253,143.2206791,Low voltage AC (<1kV),4.6,0.1,0.46,6,6,0,135.9925079,47.2,14.3,7.2,1,9,06,2018
111,-38.35248,143.351852,Low voltage AC (<1kV),4.6,0.5,2.3,6,6,0,135.759903,29.2,26.9,16.8,1,14,03,2017
112,-38.428651,143.57887,22kV AC,4.6,0.2,0.92,2,2,1,286.941925,29.2,26.9,16.8,1,27,03,2017
113,-38.437625,143.81143,22kV AC,4.6,0.5,2.3,6,6,0,162.3089142,129.4,26.9,21.8,1,5,01,2020
114,-38.346398,143.78383,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,150.2120056,70.2,19.3,17.5,1,18,10,2016
115,-38.398461,143.85294,22kV AC,4.6,0.5,2.3,6,6,0,142.9255981,33.2,26.5,23.4,1,22,01,2017
116,-38.411115,144.183168,22kV AC,0.2,0.2,0.04,6,6,0,10.37412739,60.8,21.8,20.4,1,8,11,2019
117,-38.31586,144.031103,22kV AC,19.8,0.5,9.9,6,6,0,201.9217529,4.4,24.6,24.7,1,27,12,2019
118,-38.460421,144.105409,Low voltage AC (<1kV),0.2,0.5,0.1,6,6,0,41.28956223,4.4,24.6,24.7,1,28,12,2019
119,-38.423059,144.176866,Low voltage AC (<1kV),0.2,3.5,0.7,6,6,0,25.84105492,4.4,24.6,24.7,1,30,12,2019
120,-38.315,144.1699,22kV AC,19.8,0.1,1.98,6,6,0,103.6041412,82.8,16.4,8.3,1,22,05,2020
121,-38.411728,144.166923,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,56.66391373,82.8,16.4,8.3,1,26,05,2020
122,-38.407395,144.184883,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,7.10069418,30.8,14.9,7.6,1,27,06,2020
124,-38.418203,144.17032,Low voltage AC (<1kV),4.6,0.1,0.46,6,6,0,69.06679535,70.2,19.3,17.5,1,27,10,2016
125,-38.402314,144.18583,22kV AC,0.2,0.2,0.04,6,6,0,1.740084052,142.7,20.8,10.8,1,9,04,2017
126,-38.404789,144.19889,22kV AC,4.6,0.2,0.92,6,6,0,24.78718948,142.7,20.8,10.8,1,12,04,2017
127,-38.4280748,144.1733834,Low voltage AC (<1kV),4.6,0.1,0.46,6,6,0,11.1978159,21.4,14.9,7.2,1,17,06,2017
128,-38.282773,144.401168,22kV AC,4.6,0.1,0.46,6,6,0,2.670577049,51.4,17.8,14.5,1,14,09,2019
129,-38.30722,144.3298,Low voltage AC (<1kV),4.6,0.2,0.92,6,6,0,36.1173439,145.6,19.3,9.8,1,29,04,2020
130,-38.282995,144.31525,Low voltage AC (<1kV),4.6,0.2,0.92,6,6,0,24.46115112,36.4,20.8,19.5,1,16,11,2016
131,-38.290318,144.309576,Low voltage AC (<1kV),4.6,0.2,0.92,6,6,0,30.6955986,33.2,26.5,23.4,1,1,01,2017
132,-38.308851,144.26737,22kV AC,4.6,1.0,4.6,6,6,0,61.5592804,29.2,26.9,16.8,1,2,03,2017
133,-38.33130092,144.3208668,Low voltage AC (<1kV),0.2,0.2,0.04,6,6,0,23.86153984,142.7,20.8,10.8,1,15,04,2017
134,-38.282534,144.612332,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,11.9757061,82.8,16.4,8.3,1,15,05,2020
135,-38.36921643,144.7772773,22kV AC,0.2,0.1,0.02,6,6,0,15.14319134,64.3,14.5,10,1,9,08,2019
136,-38.32392566,144.7322357,22kV AC,0.2,0.2,0.04,6,6,0,15.05648518,60.8,21.8,20.4,1,26,11,2019
137,-38.38753896,144.7894276,Low voltage AC (<1kV),1.0,0.5,0.5,6,6,0,12.58341599,4.4,24.6,24.7,1,21,12,2019
138,-38.39509654,144.8177516,22kV AC,1.0,0.5,0.5,6,6,0,5.023294926,4.4,24.6,24.7,1,27,12,2019
139,-38.33014366,144.7136143,22kV AC,0.2,0.2,0.04,6,6,0,6.808852196,129.4,26.9,21.8,1,5,01,2020
140,-38.36740156,144.8092503,22kV AC,0.2,0.2,0.04,2,2,1,11.11455154,78.2,22.9,14.4,1,2,03,2020
141,-38.42320731,144.8761306,22kV AC,1.0,0.1,0.1,2,2,1,15.71781254,82.8,16.4,8.3,1,20,05,2020
142,-38.36571183,144.7592513,Low voltage AC (<1kV),1.0,0.1,0.1,6,6,0,6.997094154,30.8,14.9,7.6,1,6,06,2020
143,-38.32909305,144.7169452,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,8.975372314,30.8,14.9,7.6,1,23,06,2020
144,-38.31953425,144.7105129,22kV AC,0.2,0.1,0.02,6,6,0,10.415308,22,14.8,8,1,23,07,2018
145,-38.32034846,144.7134928,22kV AC,0.2,0.2,0.04,6,6,0,3.718715906,69.6,22,19.8,1,23,11,2018
146,-38.37762567,144.8064762,22kV AC,0.2,1.0,0.2,6,6,0,5.233681202,12.6,28.4,25.6,1,15,01,2019
147,-38.36791101,144.7695723,22kV AC,1.0,0.5,0.5,6,6,0,9.883494377,20.3,26,21.4,1,6,02,2019
148,-38.35604581,144.7584462,22kV AC,0.2,1.0,0.2,6,6,0,9.345318794,20.3,26,21.4,1,25,02,2019
149,-38.36077503,144.8871193,22kV AC,0.2,1.0,0.2,6,6,0,2.026944637,14.6,24.8,15.9,1,2,03,2019
150,-38.36161032,144.78071,22kV AC,0.2,0.2,0.04,6,6,0,4.891262531,14.6,24.8,15.9,1,31,03,2019
151,-38.36115673,144.7816451,22kV AC,0.2,0.5,0.1,6,6,0,0.898925304,11.6,22,11.1,1,26,04,2019
152,-38.37526114,144.7740271,Low voltage AC (<1kV),1.0,0.2,0.2,6,6,0,5.605446339,63.5,17.8,7.6,1,17,05,2019
153,-38.36895392,144.7712022,Low voltage AC (<1kV),1.0,0.1,0.1,6,6,0,7.05103302,57.5,15.5,7.2,1,3,06,2019
154,-38.39502752,144.8035458,Low voltage AC (<1kV),1.0,0.1,0.1,6,6,0,21.98960495,57.5,15.5,7.2,1,7,06,2019
155,-38.33131965,144.7145417,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,17.61515236,35.6,14.5,7.9,1,8,07,2017
156,-38.35468433,144.7596427,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,5.981715202,46.7,17.8,12.6,1,28,09,2017
157,-38.36836566,144.8717261,22kV AC,0.2,0.5,0.1,6,6,0,4.1408391,46.2,25.9,22.8,1,24,11,2017
158,-38.3677738,144.8929704,22kV AC,0.2,0.5,0.1,6,6,0,9.544910431,73.6,27.2,23.9,1,27,01,2018
159,-38.38231491,144.8320848,22kV AC,0.2,0.5,0.1,6,6,0,6.817730904,24.6,24.9,16.6,1,26,03,2018
160,-38.33889793,144.730568,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,10.72908974,47.2,14.3,7.2,1,9,06,2018
161,-38.35694016,144.7508052,Low voltage AC (<1kV),1.0,0.1,0.1,6,6,0,25.04848289,47.2,14.3,7.2,1,19,06,2018
162,-38.38379534,144.7929433,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,3.692331791,47.2,14.3,7.2,1,30,06,2018
163,-38.37209011,144.8873212,22kV AC,0.2,0.2,0.04,6,6,0,7.000175953,36.4,20.8,19.5,1,22,11,2016
164,-38.37628916,144.7886154,Low voltage AC (<1kV),0.2,0.5,0.1,6,6,0,7.833634377,33.2,26.5,23.4,1,5,01,2017
165,-38.42237399,144.8868873,Low voltage AC (<1kV),0.2,0.2,0.04,6,6,0,9.006299973,29.2,26.9,16.8,1,5,03,2017
166,-38.31398563,145.1388042,22kV AC,1.0,0.1,0.1,6,6,0,78.20947266,52.8,15,7.7,1,29,07,2019
167,-38.41283744,145.0139917,22kV AC,1.0,1.0,1.0,6,6,0,139.0184631,60.8,21.8,20.4,1,21,11,2019
168,-38.3374001,144.9704605,22kV AC,0.2,0.5,0.1,6,6,0,8.832578659,129.4,26.9,21.8,1,1,01,2020
169,-38.39871921,144.9395027,Low voltage AC (<1kV),1.0,1.0,1.0,1,2,1,132.3295898,129.4,26.9,21.8,1,23,01,2020
170,-38.35232844,144.9177508,22kV AC,0.2,0.5,0.1,6,6,0,2.072663069,75.8,24.4,17.9,1,13,02,2020
171,-38.37464693,145.0514026,22kV AC,1.0,0.5,0.5,2,2,1,122.9722748,78.2,22.9,14.4,1,17,03,2020
172,-38.30921163,145.0697715,22kV AC,1.0,0.1,0.1,2,2,1,90.61672974,82.8,16.4,8.3,1,14,05,2020
173,-38.45717003,144.9900876,22kV AC,1.0,0.1,0.1,6,6,0,99.51803589,49.4,15.1,10.1,1,10,08,2018
174,-38.46266555,144.9945972,22kV AC,1.0,0.2,0.2,6,6,0,94.35932922,24.9,21.4,19.2,1,16,10,2018
175,-38.37777435,145.1403683,22kV AC,1.0,1.0,1.0,5,5,1,14.99989414,12.6,28.4,25.6,1,24,01,2019
176,-38.30837567,145.0323299,66kV AC,1.0,0.5,0.5,6,6,0,32.9227562,14.6,24.8,15.9,1,4,03,2019
177,-38.33520466,144.976384,66kV AC,0.2,0.5,0.1,6,6,0,5.035502434,14.6,24.8,15.9,1,5,03,2019
178,-38.33340017,145.0192425,22kV AC,1.0,0.2,0.2,6,6,0,30.65650177,14.6,24.8,15.9,1,19,03,2019
179,-38.35311369,145.0249464,22kV AC,1.0,1.0,1.0,6,6,0,187.674881,14.6,24.8,15.9,1,25,03,2019
180,-38.328302,144.9737447,22kV AC,0.2,1.0,0.2,6,6,0,4.022881985,14.6,24.8,15.9,1,25,03,2019
181,-38.37004636,145.0071546,22kV AC,1.0,0.5,0.5,6,6,0,220.7240448,11.6,22,11.1,1,3,04,2019
182,-38.34886758,144.9428668,Low voltage AC (<1kV),0.2,0.5,0.1,6,6,0,105.2017212,119.2,25,22.4,1,22,12,2017
183,-38.38687608,144.9312517,22kV AC,0.2,0.5,0.1,6,6,0,95.98451996,73.6,27.2,23.9,1,12,01,2018
184,-38.30694315,145.0301981,22kV AC,1.0,1.0,1.0,6,6,0,21.99007607,1.2,27,20.8,1,14,02,2018
185,-38.40434763,144.936449,22kV AC,1.0,0.5,0.5,6,6,0,118.9876099,1.2,27,20.8,1,26,02,2018
186,-38.381844,145.124276,Low voltage AC (<1kV),0.2,0.5,0.1,6,6,0,23.71496964,24.6,24.9,16.6,1,9,03,2018
187,-38.37424632,145.090305,22kV AC,1.0,2.0,2.0,6,6,0,56.93214035,24.6,24.9,16.6,1,17,03,2018
188,-38.34652685,144.9556019,22kV AC,1.0,2.0,2.0,6,6,0,110.8995132,24.6,24.9,16.6,1,18,03,2018
189,-38.40357899,145.0696199,22kV AC,1.0,2.0,2.0,6,6,0,41.98132706,24.6,24.9,16.6,1,18,03,2018
190,-38.38299737,144.9229263,Low voltage AC (<1kV),0.2,0.5,0.1,6,6,0,63.75104523,24.6,24.9,16.6,1,22,03,2018
191,-38.3740642,145.1253735,22kV AC,0.2,1.0,0.2,6,6,0,26.99831009,19,21.8,10.9,1,14,04,2018
192,-38.33859004,145.1220067,22kV AC,1.0,1.0,1.0,6,6,0,95.57994843,19,21.8,10.9,1,14,04,2018
193,-38.31848984,144.9871602,22kV AC,0.2,0.1,0.02,6,6,0,4.539415359,72.2,17.6,7.3,1,8,05,2018
194,-38.33849453,144.9696554,22kV AC,0.2,0.1,0.02,6,6,0,13.0001545,72.2,17.6,7.3,1,9,05,2018
195,-38.37384467,145.1212141,Low voltage AC (<1kV),0.2,0.1,0.02,1,2,1,21.77526665,104.6,16.7,12.6,1,25,09,2016
196,-38.36277886,145.0744494,22kV AC,1.0,0.2,0.2,6,6,0,113.9990005,36.4,20.8,19.5,1,3,11,2016
197,-38.40071361,144.9949184,Low voltage AC (<1kV),1.0,0.5,0.5,5,5,1,185.3230133,47.7,25.5,24,1,24,12,2016
198,-38.37834921,144.9253499,Low voltage AC (<1kV),0.2,1.0,0.2,6,6,0,75.00699615,29.2,26.9,16.8,1,15,03,2017
199,-38.37692325,145.1488222,22kV AC,1.0,2.0,2.0,6,6,0,17.0,129.4,26.9,21.8,1,31,01,2020
200,-38.45403599,145.246774,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,10.7220211,30.8,14.9,7.6,1,27,06,2020
201,-38.33755045,145.1750543,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,24.55733109,19,17.2,14.6,1,9,09,2018
202,-38.28407165,145.1886625,22kV AC,1.0,0.1,0.1,6,6,0,6.072034836,19,17.2,14.6,1,11,09,2018
203,-38.31662618,145.1940554,22kV AC,0.2,0.2,0.04,6,6,0,2.405930996,24.9,21.4,19.2,1,16,10,2018
204,-38.36562048,145.2015613,22kV AC,0.2,0.2,0.04,1,2,1,8.371703148,69.6,22,19.8,1,21,11,2018
205,-38.30012811,145.1535819,22kV AC,1.0,0.5,0.5,6,6,0,47.16740417,12.6,28.4,25.6,1,18,01,2019
206,-38.38294267,145.1702766,22kV AC,1.0,0.1,0.1,6,6,0,16.83831406,57.5,15.5,7.2,1,6,06,2019
207,-38.30758879,145.1794736,22kV AC,0.2,1.0,0.2,6,6,0,15.83176231,1.2,27,20.8,1,28,02,2018
208,-38.35817488,145.1624864,22kV AC,1.0,0.1,0.1,6,6,0,14.46287823,47.2,14.3,7.2,1,16,06,2018
209,-38.3093736,145.145655,Low voltage AC (<1kV),1.0,0.1,0.1,2,2,1,50.51785278,68.6,14.6,7.2,1,22,07,2016
210,-38.36491708,145.2037747,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,9.0,104.6,16.7,12.6,1,21,09,2016
211,-38.45331202,145.26164,22kV AC,0.2,0.1,0.02,6,6,0,2.000020981,70.2,19.3,17.5,1,21,10,2016
212,-38.45619993,145.2422452,Low voltage AC (<1kV),0.2,0.5,0.1,6,6,0,20.70450783,29.2,26.9,16.8,1,10,03,2017
213,-38.39955761,145.5373509,Low voltage AC (<1kV),4.6,0.1,0.46,6,6,0,15.86089516,64.3,14.5,10,1,19,08,2019
